material_id,formula,prototype,atomic_number_mean,electronegativity_mean,atomic_radius_mean,layer_thickness,symmetry_index,formation_energy_ev_atom,band_gap_ev
demo-2d-0043,VN2,hex,37.22246,1.84934,1.14144,4.78912,0.25859,-0.63832,1.56850
demo-2d-0044,SnTe2,ortho,53.72439,2.56507,1.49700,4.66366,0.29223,-0.58788,2.17982
demo-2d-0045,GaS2,1H,32.94890,1.97250,1.16105,4.23667,0.94702,-1.00732,1.93560
demo-2d-0046,InO2,1T,47.86103,2.19528,1.71904,5.27304,0.30196,-0.76315,1.26352
demo-2d-0047,BiSe2,Td,35.14489,2.20523,0.95913,7.68627,0.49702,-0.59627,1.39307
demo-2d-0048,MoN2,hex,64.55378,2.55540,1.67484,4.67519,0.97736,-0.41564,2.30635
demo-2d-0049,WTe2,ortho,62.76882,1.79679,1.11078,4.46737,0.65516,-0.76497,1.70672
demo-2d-0050,TiS2,1H,60.58596,2.10475,1.10032,5.86569,0.19609,-0.35885,1.65705
demo-2d-0051,VO2,1T,61.94272,2.43558,1.51188,6.73591,0.65716,-0.43771,1.87708
demo-2d-0052,SnSe2,Td,57.47445,1.52935,1.54162,7.79382,0.06743,-0.52069,1.36236
demo-2d-0053,GaN2,hex,49.44897,2.09442,1.71443,4.57903,0.96499,-0.79713,1.88932
demo-2d-0054,InTe2,ortho,26.53437,2.01139,1.01843,6.40939,0.36693,-0.84878,1.89685
demo-2d-0055,BiS2,1H,50.00698,2.37342,1.07977,4.12315,0.56411,-0.92966,2.66350
demo-2d-0056,MoO2,1T,28.18965,2.32110,0.95756,5.75095,0.50601,-1.07202,2.06271
demo-2d-0057,WSe2,Td,66.71487,2.62273,1.74745,3.48860,0.54038,-0.41355,2.53704
demo-2d-0058,TiN2,hex,26.85265,2.50335,1.36199,7.18809,0.66123,-0.65334,2.17638
demo-2d-0059,VTe2,ortho,37.87181,1.63105,1.07338,5.77210,0.17020,-0.60856,1.07569
demo-2d-0060,SnS2,1H,65.19478,2.29461,1.25496,5.80816,0.66517,-0.75297,2.45241
demo-2d-0061,GaO2,1T,24.53069,2.02463,1.61291,6.15438,0.48314,-0.81271,1.82475
demo-2d-0062,InSe2,Td,60.06849,1.46423,1.34585,4.22254,0.76563,-0.57364,1.77711
demo-2d-0063,BiN2,hex,45.33869,1.78123,1.67568,6.36401,0.86439,-0.69947,1.41807
demo-2d-0064,MoTe2,ortho,61.54440,1.63622,1.50133,4.41244,0.79782,-0.77141,1.89405
demo-2d-0065,WS2,1H,38.60789,1.55069,1.54442,6.01557,0.17120,-0.71865,1.55728
demo-2d-0066,TiO2,1T,35.28187,2.44353,1.30556,3.35588,0.64553,-0.71049,2.47469
demo-2d-0067,VSe2,Td,48.31020,1.51021,1.18478,4.98193,0.43118,-0.46836,1.29748
demo-2d-0068,SnN2,hex,54.40231,1.78789,1.49334,7.39905,0.91311,-0.40403,1.09705
demo-2d-0069,GaTe2,ortho,54.05192,2.06033,1.11793,4.43123,0.36392,-0.46591,1.70687
demo-2d-0070,InS2,1H,18.56783,2.07660,1.15174,4.33687,0.66215,-1.08116,3.06885
demo-2d-0071,BiO2,1T,43.70091,2.50594,1.22100,2.79498,0.25888,-0.51197,2.16006
demo-2d-0072,MoSe2,Td,32.50678,1.37312,1.11738,4.97711,0.31306,-0.83301,1.16208
demo-2d-0073,WN2,hex,55.39143,2.05065,0.95911,3.09708,0.36348,-0.65234,2.21721
demo-2d-0074,TiTe2,ortho,50.72843,1.57201,1.19756,5.55165,0.72624,-0.74715,1.17550
demo-2d-0075,VS2,1H,23.83502,1.70214,1.28563,3.56334,0.74754,-0.40241,2.42490
demo-2d-0076,SnO2,1T,67.16489,2.20525,1.22301,4.40655,0.62628,-0.57908,2.12467
demo-2d-0077,GaSe2,Td,63.30388,1.39773,1.34200,2.71323,0.81850,-0.57914,2.03204
demo-2d-0078,InN2,hex,28.73164,1.70573,1.62380,4.67961,0.25738,-0.60005,1.73025
demo-2d-0079,BiTe2,ortho,21.48593,2.28868,1.47893,6.14669,0.77756,-0.85078,2.70192
demo-2d-0080,MoS2,1H,22.89879,2.01252,1.36795,4.29051,0.35204,-0.85898,2.63430
demo-2d-0081,WO2,1T,71.39824,2.47255,1.08948,3.93895,0.95010,-0.44790,1.73157
demo-2d-0082,TiSe2,Td,38.67274,1.48827,1.43748,3.71719,0.49062,-0.66416,1.53071
demo-2d-0083,VN2,hex,46.43514,2.01779,1.58335,4.00755,0.88012,-0.81471,1.84936
demo-2d-0084,SnTe2,ortho,63.39155,1.77349,1.74775,4.63841,0.63447,-0.58599,1.68761
demo-2d-0085,GaS2,1H,47.77068,2.62368,1.53299,3.28253,0.82509,-0.66352,2.53611
demo-2d-0086,InO2,1T,53.99876,1.39488,1.58161,7.49306,0.22004,-0.61017,0.99370
demo-2d-0087,BiSe2,Td,37.25915,1.94448,1.09926,2.87894,0.22635,-0.65475,1.90848
demo-2d-0088,MoN2,hex,44.44608,2.05989,0.97321,3.74887,0.39595,-0.89673,1.65981
demo-2d-0089,WTe2,ortho,58.34595,1.55152,1.20960,6.31705,0.08826,-0.56202,1.22952
demo-2d-0090,TiS2,1H,49.64454,2.26604,1.60076,3.93758,0.76892,-0.56698,2.38349
demo-2d-0091,VO2,1T,62.08854,1.89969,1.29651,6.93215,0.21214,-0.52979,1.71060
demo-2d-0092,SnSe2,Td,29.48654,1.55607,1.74349,4.79426,0.45202,-0.57677,1.34171
demo-2d-0093,GaN2,hex,70.29525,2.16815,1.30238,7.52923,0.62628,-0.28764,1.59174
demo-2d-0094,InTe2,ortho,57.90884,1.50061,1.01305,6.31699,0.64108,-0.61147,1.44484
demo-2d-0095,BiS2,1H,52.61969,1.59609,1.70840,7.71180,0.07898,-0.37993,1.16867
demo-2d-0096,MoO2,1T,67.33818,2.37629,1.17969,4.49918,0.05905,-0.86487,1.63711
demo-2d-0097,WSe2,Td,63.38532,1.98462,1.06036,6.72532,0.58166,-0.46634,1.56099
demo-2d-0098,TiN2,hex,50.86122,2.12095,1.69458,6.08411,0.35994,-0.59817,1.88187
demo-2d-0099,VTe2,ortho,42.89336,1.79972,1.61076,5.33207,0.55380,-0.56117,1.44904
demo-2d-0100,SnS2,1H,20.01043,2.11727,1.00620,7.39732,0.58616,-1.03921,2.64543
demo-2d-0101,GaO2,1T,49.04873,1.94405,1.33290,2.71423,0.90327,-0.61659,1.88649
demo-2d-0102,InSe2,Td,22.96037,2.04520,1.15396,7.65372,0.76148,-0.67424,2.16272
demo-2d-0103,BiN2,hex,24.46244,2.60305,1.67407,6.32963,0.34168,-0.87478,2.42909
demo-2d-0104,MoTe2,ortho,66.41920,2.24759,1.27003,5.27326,0.85601,-0.70787,2.05791
demo-2d-0105,WS2,1H,50.16718,1.92008,1.56503,5.65954,0.61102,-0.64186,1.79683
demo-2d-0106,TiO2,1T,69.05365,1.85014,0.97723,5.02019,0.18327,-0.58775,1.42323
demo-2d-0107,VSe2,Td,32.43462,1.91122,1.53821,2.73675,0.62210,-1.07097,1.91172
demo-2d-0108,SnN2,hex,24.59701,1.82903,1.12344,2.99510,0.21156,-0.89695,2.24455
demo-2d-0109,GaTe2,ortho,23.70555,2.63692,1.27073,2.63001,0.23681,-0.84245,3.20555
demo-2d-0110,InS2,1H,46.33496,2.53582,1.01764,3.47168,0.91593,-0.67436,2.83796
demo-2d-0111,BiO2,1T,61.36599,2.08104,1.66951,5.45844,0.08379,-0.15620,1.39748
demo-2d-0112,MoSe2,Td,55.46867,2.44316,1.36239,7.45669,0.95912,-0.31798,1.68775
demo-2d-0113,WN2,hex,53.12337,2.61233,0.98761,3.07367,0.66927,-0.69433,2.49442
demo-2d-0114,TiTe2,ortho,51.35834,1.40669,1.68983,2.97082,0.71567,-0.75829,1.52290
demo-2d-0115,VS2,1H,45.90143,2.05228,1.34621,2.87676,0.38441,-0.82940,2.00791
demo-2d-0116,SnO2,1T,31.08351,1.36967,1.25867,3.06474,0.69112,-0.73539,1.56245
demo-2d-0117,GaSe2,Td,48.19540,2.00630,1.21967,4.05043,0.66383,-0.65361,1.86376
demo-2d-0118,InN2,hex,36.59384,2.32218,1.05423,7.48942,0.86954,-0.73263,1.29343
demo-2d-0119,BiTe2,ortho,43.61548,2.25147,1.49937,4.27645,0.52023,-0.66065,1.82086
demo-2d-0120,MoS2,1H,38.49533,2.60554,1.34842,4.77687,0.58842,-0.85222,2.23906
demo-2d-0121,WO2,1T,58.09945,2.11864,1.47023,3.83757,0.40838,-0.58024,1.99924
demo-2d-0122,TiSe2,Td,54.47494,2.23420,1.40315,4.19576,0.55469,-0.49035,2.03236
demo-2d-0123,VN2,hex,57.75721,2.27877,1.42193,3.86180,0.49789,-0.41516,2.07504
demo-2d-0124,SnTe2,ortho,45.14105,2.21078,1.04051,3.26131,0.63235,-0.78433,2.13322
demo-2d-0125,GaS2,1H,31.61087,1.92760,1.18639,3.38294,0.65185,-0.60235,2.17657
demo-2d-0126,InO2,1T,23.19660,2.43153,1.30507,2.95493,0.41595,-0.85560,2.90612
demo-2d-0127,BiSe2,Td,57.30747,2.43010,1.15073,6.44608,0.43992,-0.67495,2.08982
demo-2d-0128,MoN2,hex,27.08021,2.14613,0.97451,3.70930,0.71410,-0.90471,2.04082
demo-2d-0129,WTe2,ortho,39.78204,2.47792,1.48175,3.46256,0.14643,-0.83482,2.11354
demo-2d-0130,TiS2,1H,52.80514,1.86299,1.44314,4.17497,0.56578,-0.40855,1.93230
demo-2d-0131,VO2,1T,36.77225,2.54884,1.14405,5.24509,0.08558,-0.83114,1.55398
demo-2d-0132,SnSe2,Td,27.17103,1.90966,1.41437,4.91311,0.40640,-0.82756,1.92524
demo-2d-0133,GaN2,hex,34.58488,1.39701,1.42730,4.35469,0.33305,-1.07747,1.49713
demo-2d-0134,InTe2,ortho,51.98962,2.04533,1.61352,7.52136,0.32129,-0.77686,1.01137
demo-2d-0135,BiS2,1H,45.32540,2.43118,1.23058,4.62558,0.25952,-0.82966,2.15922
demo-2d-0136,MoO2,1T,51.63194,2.53241,1.63331,6.76180,0.58125,-0.79806,1.97978
demo-2d-0137,WSe2,Td,64.71163,1.38788,1.13890,3.50907,0.63689,-0.85059,1.59481
demo-2d-0138,TiN2,hex,41.51417,1.59636,0.97486,3.03981,0.14642,-0.74832,1.45466
demo-2d-0139,VTe2,ortho,50.48040,2.17670,1.74484,5.85651,0.44555,-0.71520,2.03924
demo-2d-0140,SnS2,1H,23.22250,1.43622,1.22340,3.38354,0.64597,-0.77933,2.35038
demo-2d-0141,GaO2,1T,62.19211,2.48643,1.39356,5.12571,0.61472,-0.48035,2.12009
demo-2d-0142,InSe2,Td,26.06750,1.95614,1.63385,3.11768,0.99814,-0.70859,2.23650
demo-2d-0143,BiN2,hex,69.15080,1.46851,1.49860,4.79983,0.99195,-0.55984,1.39751
demo-2d-0144,MoTe2,ortho,43.68101,2.32134,1.74816,4.71979,0.45674,-0.42532,1.91207
demo-2d-0145,WS2,1H,46.29477,1.90199,1.23006,3.47821,0.86373,-0.89157,1.83389
demo-2d-0146,TiO2,1T,31.93885,2.39199,1.57871,6.21328,0.39665,-0.72158,1.48658
demo-2d-0147,VSe2,Td,52.22232,2.10123,1.44425,4.25964,0.86495,-0.54272,1.88462
demo-2d-0148,SnN2,hex,58.04850,2.13629,1.09502,4.77911,0.08235,-0.77684,1.68771
demo-2d-0149,GaTe2,ortho,33.66741,2.31000,1.64530,3.68124,0.93578,-0.72374,1.99120
demo-2d-0150,InS2,1H,37.32239,2.02237,1.71214,4.21872,0.87862,-0.66382,2.40813
demo-2d-0151,BiO2,1T,50.44697,1.78893,1.20458,7.38974,0.65595,-0.74839,0.95620
demo-2d-0152,MoSe2,Td,40.91250,1.95030,1.25107,3.15382,0.40400,-0.65599,1.51148
demo-2d-0153,WN2,hex,54.71031,2.10966,1.40552,4.46296,0.77260,-0.71318,2.11857
demo-2d-0154,TiTe2,ortho,31.55881,1.97375,1.23813,5.02308,0.62303,-0.70403,1.66583
demo-2d-0155,VS2,1H,70.68444,2.38119,1.04293,4.32046,0.29855,-0.66362,2.36417
demo-2d-0156,SnO2,1T,56.32079,1.35290,1.12463,3.00511,0.21772,-0.73409,0.91240
demo-2d-0157,GaSe2,Td,69.89404,2.05161,1.03250,5.78514,0.54036,-0.66902,1.40320
demo-2d-0158,InN2,hex,23.83705,1.89388,1.04324,7.79046,0.91244,-0.84323,1.85701
demo-2d-0159,BiTe2,ortho,49.82160,2.30558,1.26052,3.31202,0.97166,-0.69593,2.21685
